skill_name,category,role,description,trigger_keywords,installable,source_type,source,url,market_channel,short_name
init-harness-agents,初始化,General,初始化 harness agents,初始化|Harness,false,local,init-harness-agents,,Init Harness,
init-loop-agents,初始化,General,初始化 loop agents,初始化|Loop,false,local,init-loop-agents,,Init Loop,
dispatching-parallel-agents,调度,General,并行 agents 调度,并行调度|Agents,false,local,dispatching-parallel-agents,,Dispatch Parallel,
subagent-driven-development,开发,General,子 agent 驱动开发,子 agent|开发,false,local,subagent-driven-development,,Subagent Dev,
executing-plans,执行,General,执行计划与任务,执行计划|任务,false,local,executing-plans,,Execute Plans,
writing-plans,计划,General,编写计划与任务规划,计划编写|任务规划,false,local,writing-plans,,Write Plans,
finishing-a-development-branch,分支管理,General,完成开发分支与合并,分支管理|Git,false,local,finishing-a-development-branch,,Finish Branch,
using-git-worktrees,Git,General,使用 git worktrees,Git|工作树,false,local,using-git-worktrees,,Git Worktrees,
using-superpowers,超级能力,General,使用超级能力与技能,超级能力|Skills,false,local,using-superpowers,,Superpowers,
writing-skills,技能编写,General,编写与编辑技能文档,技能编写|Documentation,false,local,writing-skills,,Write Skills,
